Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,video_views_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,Population,Latitude,Longitude
dednahype,20200000,20919403720.0,Comedy,dednahype,1935,Latvia,Comedy,108.0,19.0,1245000000.0,311200.0,5000000.0,3700000.0,59800000.0,1200000.0,2020.0,1912789.0,56.879635,24.603189
Marta and Rustam,20200000,19694265358.0,Comedy,Marta and Rustam,761,United States,Comedy,126.0,20.0,452250000.0,113100.0,1800000.0,1400000.0,21700000.0,600000.0,2021.0,328239523.0,37.09024,-95.712891
MiawAug,20200000,6098644584.0,Gaming,MiawAug,3713,Indonesia,Games,1023.0,27.0,64489000.0,16100.0,258000.0,193500.0,3100000.0,200000.0,2014.0,270203917.0,-0.789275,113.921327
CookieSwirlC,20100000,23353115850.0,Entertainment,CookieSwirlC,3774,United States,Games,86.0,28.0,221702000.0,55400.0,886800.0,665100.0,10600000.0,200000.0,2013.0,328239523.0,37.09024,-95.712891
Skrillex,20100000,6618524158.0,Music,Skrillex,241,United States,Music,905.0,95.0,25263000.0,6300.0,101100.0,75800.0,1200000.0,0.0,2010.0,328239523.0,37.09024,-95.712891
AuthenticGames,20100000,8920141342.0,Gaming,AuthenticGames,4974,Brazil,Games,549.0,28.0,5420000.0,1400.0,21700.0,16300.0,260200.0,0.0,2011.0,212559417.0,-14.235004,-51.92528
Robin Hood Gamer,20100000,10366850490.0,Entertainment,Homem Aranha player,0,Unknown,Games,4057944.0,7471.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0
Pencilmation,20100000,11317309935.0,Film & Animation,Pencilmation,1481,United States,Entertainment,366.0,104.0,14862000.0,3700.0,59400.0,44600.0,713400.0,100000.0,2007.0,328239523.0,37.09024,-95.712891
7clouds,20100000,14816075927.0,Music,7clouds,2384,United States,Music,227.0,95.0,276751000.0,69200.0,1100000.0,830300.0,13300000.0,300000.0,2013.0,328239523.0,37.09024,-95.712891
5-Minute Crafts PLAY,20100000,6119294270.0,Howto & Style,5-Minute Crafts PLAY,5491,United States,Howto,1014.0,12.0,105784000.0,26400.0,423100.0,317400.0,5100000.0,100000.0,2017.0,328239523.0,37.09024,-95.712891
Marvel Entertainment,20100000,5634695322.0,Entertainment,MarvelEntertainment,1,United States,Film,4054962.0,4024.0,63.0,0.02,0.25,0.19,3.0,30.0,2011.0,328239523.0,37.09024,-95.712891
BuzzFeedVideo,20100000,17913237851.0,People & Blogs,BuzzFeedVideo,7737,United States,People,150.0,20.0,9112000.0,2300.0,36400.0,27300.0,437400.0,0.0,2011.0,328239523.0,37.09024,-95.712891
REACT,20000000,13154314376.0,Entertainment,REACT,4339,United States,Entertainment,281.0,104.0,23206000.0,5800.0,92800.0,69600.0,1100000.0,0.0,2007.0,328239523.0,37.09024,-95.712891
Vevo,20000000,559765455.0,Music,Vevo,1527,United States,Music,22747.0,96.0,1331000.0,333.0,5300.0,4000.0,63900.0,0.0,2006.0,328239523.0,37.09024,-95.712891
Gordon Ramsay,20000000,3875172235.0,Entertainment,Gordon Ramsay,1527,United Kingdom,Entertainment,2001.0,104.0,39228000.0,9800.0,156900.0,117700.0,1900000.0,200000.0,2006.0,66834405.0,55.378051,-3.435973
Pentatonix,20000000,6033295543.0,Music,pentatonix,1,Canada,Entertainment,4051673.0,6742.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,36991981.0,56.130366,-106.346771
Green Gold TV - Official Channel,20000000,9715291883.0,Film & Animation,Green Gold TV - Official Channel,1476,India,Entertainment,473.0,104.0,70278000.0,0.0,0.0,0.0,0.0,100000.0,2011.0,1366417754.0,20.593684,78.96288
Gusttavo Lima Oficial,19900000,13917423958.0,Music,Gusttavo Lima Oficial,416,Brazil,Music,258.0,97.0,214803000.0,53700.0,859200.0,644400.0,10300000.0,100000.0,2010.0,212559417.0,-14.235004,-51.92528
HaerteTest,19800000,3234880084.0,Science & Technology,HaerteTest,1411,Germany,Tech,2583.0,6.0,5650000.0,1400.0,22600.0,17000.0,271200.0,0.0,2011.0,83132799.0,51.165691,10.451526
Crafty Panda,19800000,5759442450.0,People & Blogs,Crafty Panda,760,United States,Entertainment,1120.0,105.0,6137000.0,1500.0,24500.0,18400.0,294600.0,100000.0,2017.0,328239523.0,37.09024,-95.712891
SOMOY TV,19800000,12293479945.0,News & Politics,TIME NEWS,9930,United States,News,1291541.0,1555.0,16229.0,4.0,65.0,49.0,779.0,0.0,2013.0,328239523.0,37.09024,-95.712891
JennaMarbles,19700000,1803249241.0,Comedy,JennaMarbles,250,United States,Comedy,5665.0,21.0,3769000.0,942.0,15100.0,11300.0,180900.0,0.0,2010.0,328239523.0,37.09024,-95.712891
Troom Troom Es,19700000,7452667615.0,People & Blogs,Troom Troom Es,2912,Unknown,Howto,747.0,13.0,29387000.0,7300.0,117500.0,88200.0,1400000.0,100000.0,2016.0,0.0,0.0,0.0
Official Pink Panther,19700000,10955619815.0,Film & Animation,OfficialPinkPanther,1,United States,Games,4052414.0,7494.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,328239523.0,37.09024,-95.712891
Britain's Got Talent,19700000,11323617496.0,Entertainment,Britain's Got Talent,4225,United Kingdom,Entertainment,364.0,106.0,54192000.0,13500.0,216800.0,162600.0,2600000.0,100000.0,2008.0,66834405.0,55.378051,-3.435973
SCTV,19700000,9808676159.0,Entertainment,SCTV,267,United Kingdom,Music,2831648.0,4668.0,336.0,0.08,1.0,1.0,16.0,0.0,2006.0,66834405.0,55.378051,-3.435973
AS Gaming,19600000,2851024430.0,Gaming,ASGaming,17,United States,Games,3857915.0,7464.0,23.0,0.01,0.09,0.07,1.0,0.0,2009.0,328239523.0,37.09024,-95.712891
Sony AATH,19600000,13930021471.0,Shows,Sony AATH,18661,United States,Entertainment,257.0,106.0,274212000.0,68600.0,1100000.0,822600.0,13200000.0,300000.0,2013.0,328239523.0,37.09024,-95.712891
tabii Urdu,19600000,8779729549.0,Entertainment,tabii Urdu,1306,Turkey,Entertainment,562.0,107.0,110806000.0,27700.0,443200.0,332400.0,5300000.0,100000.0,2020.0,83429615.0,38.963745,35.243322
DaFuq!?Boom!,19600000,7906181776.0,Film & Animation,DaFuq!?Boom!,214,United States,Entertainment,656.0,106.0,2304000000.0,576000.0,9200000.0,6900000.0,110600000.0,6700000.0,2016.0,328239523.0,37.09024,-95.712891
Clash of Clans,19600000,3961318438.0,Gaming,Clash of Clans,674,United States,Games,1934.0,30.0,22292000.0,5600.0,89200.0,66900.0,1100000.0,0.0,2013.0,328239523.0,37.09024,-95.712891
RKD Studios,19500000,5234251168.0,Entertainment,RKD Studios,847,India,Entertainment,1265.0,108.0,59841000.0,0.0,0.0,0.0,0.0,300000.0,2014.0,1366417754.0,20.593684,78.96288
DLS News,19400000,2255542592.0,News & Politics,DLS News,4750,India,News,4178.0,8.0,32111000.0,8000.0,128400.0,96300.0,1500000.0,100000.0,2017.0,1366417754.0,20.593684,78.96288
JukiLop,19400000,1577859332.0,People & Blogs,JukiLop,85,Mexico,People,6674.0,22.0,2382000.0,595.0,9500.0,7100.0,114300.0,100000.0,2017.0,126014024.0,23.634501,-102.552784
etvteluguindia,19400000,23038014291.0,Entertainment,etvteluguindia,125974,India,Entertainment,88.0,109.0,272917000.0,68200.0,1100000.0,818800.0,13100000.0,200000.0,2010.0,1366417754.0,20.593684,78.96288
FIFA,19400000,5529131886.0,Sports,FIFA,10728,Switzerland,Sports,1186.0,5.0,58863000.0,14700.0,235500.0,176600.0,2800000.0,100000.0,2006.0,8574832.0,46.818188,8.227512
Manoj  parihar,19300000,264228052.0,Unknown,Manoj  parihar,335,India,Howto,48846.0,14.0,37167000.0,9300.0,148700.0,111500.0,1800000.0,300000.0,2021.0,1366417754.0,20.593684,78.96288
Vsauce,19300000,2897907132.0,Science & Technology,Vsauce,462,Unknown,Entertainment,3024.0,110.0,69614000.0,17400.0,278500.0,208800.0,3300000.0,100000.0,2007.0,0.0,0.0,0.0
Unbox Therapy,19300000,4508184467.0,Science & Technology,Unbox Therapy,2175,Unknown,Tech,1596.0,7.0,16718000.0,4200.0,66900.0,50200.0,802500.0,1100000.0,2010.0,0.0,0.0,0.0
shane,19200000,4329121104.0,People & Blogs,shane,570,United States,Comedy,1705.0,22.0,2730000.0,683.0,10900.0,8200.0,131100.0,0.0,2005.0,328239523.0,37.09024,-95.712891
Sonotek,19200000,7590582024.0,Entertainment,Sonotek,8285,India,Music,724.0,98.0,28678000.0,7200.0,114700.0,86000.0,1400000.0,100000.0,2011.0,1366417754.0,20.593684,78.96288
Jimmy Kimmel Live,19100000,13124645973.0,Entertainment,Jimmy Kimmel Live,6526,United States,Comedy,283.0,23.0,17243000.0,4300.0,69000.0,51700.0,827600.0,0.0,2006.0,328239523.0,37.09024,-95.712891
TheOdd1sOut,19100000,4566120190.0,Comedy,TheOdd1sOut,139,United States,Comedy,1568.0,23.0,30986000.0,7700.0,123900.0,93000.0,1500000.0,0.0,2014.0,328239523.0,37.09024,-95.712891
Goldmines Great Indian Comedy,19100000,5194942269.0,Film & Animation,Goldmines Great Indian Comedy,2948,Unknown,Film,1279.0,26.0,65920000.0,16500.0,263700.0,197800.0,3200000.0,200000.0,2016.0,0.0,0.0,0.0
Lil Nas X,19100000,6339584661.0,Music,Lil Nas X,37,Unknown,Music,966.0,99.0,46192000.0,11500.0,184800.0,138600.0,2200000.0,0.0,2018.0,0.0,0.0,0.0
ýýýýýýýýýýýýýý ýýýý,19000000,4924054368.0,Education,ýýýýýýýýýýýýýý ýýýý,60,United States,Entertainment,1399.0,111.0,21587000.0,5400.0,86300.0,64800.0,1000000.0,100000.0,2018.0,328239523.0,37.09024,-95.712891
SUPER SLICK SLIME SAM,19000000,7229175322.0,Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,Howto,786.0,111.0,123338000.0,30800.0,493400.0,370000.0,5900000.0,200000.0,2018.0,126014024.0,23.634501,-102.552784
Wow Kidz Action,19000000,8281724393.0,Film & Animation,Wow Kidz Action,1525,India,Entertainment,618.0,111.0,105706000.0,26400.0,422800.0,317100.0,5100000.0,200000.0,2017.0,1366417754.0,20.593684,78.96288
Turma da Mï¿½ï¿½,19000000,13824277846.0,Film & Animation,Turma da Mï¿½ï¿½,1154,Brazil,Film,260.0,27.0,76903000.0,19200.0,307600.0,230700.0,3700000.0,100000.0,2012.0,212559417.0,-14.235004,-51.92528
Calvin Harris,19000000,16014044618.0,Music,Calvin Harris,79,United Kingdom,Music,191.0,99.0,102410000.0,25600.0,409600.0,307200.0,4900000.0,100000.0,2007.0,66834405.0,55.378051,-3.435973
KBS WORLD TV,19000000,15126092508.0,Entertainment,KBS WORLD TV,64496,South Korea,Entertainment,217.0,111.0,107989000.0,27000.0,432000.0,324000.0,5200000.0,0.0,2007.0,51709098.0,35.907757,127.766922
HiMan,18900000,2855519150.0,People & Blogs,HiMan,375,Russia,Entertainment,3094.0,112.0,24563000.0,6100.0,98300.0,73700.0,1200000.0,0.0,2014.0,144373535.0,61.52401,105.318756
Masha e o Urso,18900000,8301731337.0,Shows,Masha e o Urso,0,Unknown,Unknown,4057944.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2014.0,0.0,0.0,0.0
Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108.0,Education,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,719,Mexico,Education,459.0,24.0,140398000.0,35100.0,561600.0,421200.0,6700000.0,0.0,2018.0,126014024.0,23.634501,-102.552784
TED-Ed,18800000,3654621568.0,Education,TED-Ed,2072,United States,Education,2163.0,25.0,29874000.0,7500.0,119500.0,89600.0,1400000.0,100000.0,2011.0,328239523.0,37.09024,-95.712891
Sidemen,18800000,5257834105.0,Entertainment,Sidemen,312,United Kingdom,Entertainment,1263.0,113.0,78158000.0,19500.0,312600.0,234500.0,3800000.0,100000.0,2015.0,66834405.0,55.378051,-3.435973
Cardi B,18800000,7634430188.0,People & Blogs,Cardi B,9,Unknown,Unknown,4054469.0,0.0,7.0,0.0,0.03,0.02,0.34,0.0,2017.0,0.0,0.0,0.0
Busy Fun Ltd,18800000,7762077012.0,Unknown,TG MAYANK YT,2,Unknown,Unknown,4057882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,0.0,0.0,0.0
Farruko,18800000,9573641299.0,Music,Farruko,217,United States,Music,485.0,100.0,97758000.0,24400.0,391000.0,293300.0,4700000.0,100000.0,2009.0,328239523.0,37.09024,-95.712891
ýýýýýýýýýýýýýýýýýýýýýý,18800000,9594188708.0,Entertainment,ýýýýýýýýýýýýýýýýýýýýýý,530,Ukraine,Entertainment,483.0,113.0,68006000.0,17000.0,272000.0,204000.0,3300000.0,100000.0,2014.0,44385155.0,48.379433,31.16558
Triggered Insaan,18800000,3276891538.0,Comedy,Triggered Insaan,304,India,People,2508.0,24.0,109026000.0,27300.0,436100.0,327100.0,5200000.0,700000.0,2014.0,1366417754.0,20.593684,78.96288
CKN,18700000,12295637162.0,Entertainment,cKn,16,Spain,Music,3188353.0,5631.0,102.0,0.03,0.41,0.31,5.0,1.0,2005.0,47076781.0,40.463667,-3.74922
Ali-A,18700000,6148303268.0,Gaming,ali-a,2,Unknown,People,4053443.0,7729.0,1.0,0.0,0.0,0.0,0.05,0.0,2016.0,0.0,0.0,0.0
Shemaroo Comedy,18600000,6047584292.0,Entertainment,Shemaroo Comedy,4487,India,Comedy,1033.0,24.0,102431000.0,25600.0,409700.0,307300.0,4900000.0,200000.0,2007.0,1366417754.0,20.593684,78.96288
Smile Family Spanish,18600000,7008250496.0,Unknown,Smile Family Spanish,457,United States,Entertainment,830.0,115.0,43396000.0,10800.0,173600.0,130200.0,2100000.0,200000.0,2019.0,328239523.0,37.09024,-95.712891
GRAMMY GOLD OFFICIAL,18600000,20196704276.0,Music,GRAMMY GOLD OFFICIAL,6287,Thailand,Music,121.0,101.0,168597000.0,42100.0,674400.0,505800.0,8100000.0,100000.0,2014.0,69625582.0,15.870032,100.992541
ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,8761255550.0,Gaming,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games ýýý,6289,Saudi Arabia,Games,566.0,31.0,43007000.0,10800.0,172000.0,129000.0,2100000.0,500000.0,2013.0,34268528.0,23.885942,45.079162
Dan-Sa / Daniel Saboya,18500000,2908120896.0,Music,Dan-Sa / Daniel Saboya,1329,Brazil,Music,45213.0,102.0,6148000000.0,0.0,0.0,0.0,0.0,100000.0,2007.0,212559417.0,-14.235004,-51.92528
Marmok,18500000,3457618361.0,Gaming,Marmok,374,Russia,Games,2356.0,32.0,38282000.0,9600.0,153100.0,114800.0,1800000.0,100000.0,2008.0,144373535.0,61.52401,105.318756
